Recorded data from MZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
$ˇˇˇãC;¬ï¿ã–ãûÿˇˇˇ∂4#¬ãû∞ˇˇˇàãû∞ˇˇˇ∂Cãû$ˇˇˇàCuãûƒ˛ˇˇçPâÛË5ÚˇˇÉƒ∏;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Timestamp;Temperatyre1;Temperatyre2;Temperatyre3;Temperatyre4;Temperatyre5;Temperatyre6;Temperatyre7;Temperatyre8;Temperatyre9;Temperatyre10;Temperatyre11;Temperatyre12;Temperatyre13;Temperatyre14;Temperatyre15;Temperatyre16;Temperatyre17;Temperatyre18;Temperatyre19;Temperatyre20;Temperatyre21;Temperatyre22;Temperatyre23;Temperatyre24;Temperatyre25;Temperatyre26;Temperatyre27;Temperatyre28;Temperatyre29;Temperatyre30;Temperatyre31;Temperatyre32;Temperatyre33
2018.09.19_13:01:17;30,5;-24,99;-25,01;-24,99;-24,99;-24,95;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-25;-24,99;0
2018.09.19_13:01:18;30,5;-24,98;-24,99;-25,03;-25,02;-24,99;-24,98;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-25,01;-24,98;0;-24,99;-24,99;-24,99;0
2018.09.19_13:01:19;30,5;-25,02;-25,02;-25,03;-24,98;-24,99;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,99;-25,01;0;-25,01;-24,99;-24,99;0
2018.09.19_13:01:20;30,5;-24,96;-24,97;-24,99;-24,99;-25;-25;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-25;-25;0
2018.09.19_13:01:21;30,5;-24,98;-25,02;-24,99;-25;-24,99;-25,03;-25;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,99;-25,01;0;-25,01;-25,02;-25,02;0
2018.09.19_13:01:22;30,5;-25,02;-24,98;-24,98;-24,99;-25;-24,98;-25;0;0;0;0;0;0;0;0;0;0;-24,96;0;0;0;0;0;0;0;-24,99;-24,98;0;-24,97;-24,99;-24,99;0
2018.09.19_13:01:23;30,5;-24,98;-24,99;-25,02;-25;-25,03;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-25,01;0;-25,01;-24,99;-24,99;0
2018.09.19_13:01:24;30,5;-24,99;-25,02;-24,99;-24,99;-25;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,98;-24,99;0;-24,99;-25;-24,99;0
2018.09.19_13:01:25;30,5;-25;-24,99;-24,96;-25,03;-25;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-25,01;-24,98;0;-24,99;-24,99;-24,98;0
2018.09.19_13:01:26;30,5;-24,98;-25,02;-25,03;-24,99;-25,03;-25,02;-25,02;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,01;-24,98;-24,99;0
2018.09.19_13:01:27;30,5;-25;-25,02;-25;-24,99;-24,99;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-25,01;0;-25,02;-25;-25,02;0
2018.09.19_13:01:28;30,5;-25,02;-24,98;-24,98;-25,02;-24,96;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-25,01;0;-25,02;-24,99;-24,99;0
2018.09.19_13:01:29;30,5;-24,99;-24,98;-25,02;-25;-25;-24,99;-25;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,01;-24,98;-24,99;0
2018.09.19_13:01:30;30,5;-24,98;-25,02;-24,98;-24,98;-24,99;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,98;-24,98;0;-24,98;-24,98;-24,99;0
2018.09.19_13:01:31;30,5;-25;-25,04;-25;-25,02;-25;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,99;0;-25,02;-24,98;-25,02;0
2018.09.19_13:01:32;30,5;-24,99;-25,04;-25;-24,99;-25;-24,98;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-25,01;0;-25,02;-25;-25;0
2018.09.19_13:01:33;30,5;-24,99;-25,02;-24,99;-24,99;-25,02;-25;-25,02;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,02;-24,99;-24,98;0
2018.09.19_13:01:34;30,5;-24,99;-24,99;-24,98;-25,02;-25;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,99;0;-24,99;-25;-24,99;0
2018.09.19_13:01:35;30,5;-25;-24,99;-24,99;-25,02;-24,96;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,97;-24,97;0;-25,04;-25;-24,99;0
2018.09.19_13:01:36;30,5;-25;-25,02;-25,02;-25;-24,98;-24,98;-24,98;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,99;-24,98;0;-25,02;-24,99;-25,02;0
2018.09.19_13:01:37;30,5;-25;-25,01;-25;-24,99;-24,99;-24,98;-25,02;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-24,99;-24,99;0
2018.09.19_13:01:38;30,5;-25,02;-25,02;-24,99;-25,02;-24,99;-24,99;-25,03;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-25,03;-24,99;0
2018.09.19_13:01:39;30,5;-24,96;-24,99;-25,02;-25,03;-25,02;-25;-24,96;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,99;-24,99;0;-24,98;-25,03;-25,02;0
2018.09.19_13:01:40;30,5;-24,98;-24,99;-25;-25,02;-25,02;-24,98;-24,96;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,97;0;-25,02;-24,99;-24,98;0
2018.09.19_13:01:41;30,5;-25;-25,01;-24,96;-24,99;-24,99;-25;-24,99;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,98;-24,98;0;-25,04;-25;-24,99;0
2018.09.19_13:01:42;30,5;-25;-24,99;-24,96;-24,99;-24,99;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,98;0;-24,99;-25;-24,98;0
2018.09.19_13:01:43;30,5;-24,99;-24,99;-24,99;-24,99;-24,99;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,01;-24,99;-25,02;0
2018.09.19_13:01:44;30,5;-25;-25,02;-25;-24,99;-24,98;-24,99;-24,98;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,02;-24,99;-25;0
2018.09.19_13:01:45;30,5;-24,98;-25,01;-25;-25,02;-25;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,99;-24,99;0;-25,04;-25;-24,99;0
2018.09.19_13:01:46;30,5;-24,98;-24,99;-25;-24,99;-25,02;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-25,01;-24,99;0;-24,99;-25,02;-25,02;0
2018.09.19_13:01:47;30,5;-25;-25,02;-25,03;-25;-25;-24,99;-25;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-24,98;0;-25,01;-25;-25;0
